"","Year","Chemstry","Economics","Literature","Medicine","Peace","Physics"
"1",1901,49,,62,47,76,56
"2",1902,50,,85,45,64,43
"3",1903,44,,71,43,75,44
"4",1904,52,,73,55,,62
"5",1905,70,,59,62,62,43
"6",1906,54,,71,58,48,50
"7",1907,47,,42,62,69,55
"8",1908,37,,62,57,68,63
"9",1909,56,,51,68,68,47
"10",1910,63,,80,57,,73
"11",1911,44,,49,49,60,47
"12",1912,50,,50,39,67,43
"13",1913,47,,52,63,59,60
"14",1914,46,,,38,,35
"15",1915,43,,49,,,39
"16",1918,50,,,,,60
"17",1920,56,,61,46,69,59
"18",1921,44,,77,,56,42
"19",1922,45,,56,37,61,37
"20",1923,54,,58,40,,55
"21",1925,60,,69,,61,40
"22",1926,42,,55,59,56,56
"23",1927,50,,68,70,78,46
"24",1928,52,,46,62,,49
"25",1929,60,,54,70,73,37
"26",1930,49,,45,62,64,42
"27",1931,52,,67,48,70,
"28",1932,51,,65,59,,31
"29",1934,41,,67,47,71,
"30",1935,36,,,66,46,44
"31",1936,52,,48,62,58,42
"32",1937,51,,56,44,73,50
"33",1938,38,,46,46,,37
"34",1939,41,,51,44,,38
"35",1943,58,,,49,,55
"36",1944,65,,71,63,,46
"37",1945,50,,56,50,74,45
"38",1946,52,,69,56,80,64
"39",1947,61,,78,54,,55
"40",1948,46,,60,49,,51
"41",1949,54,,52,73,69,42
"42",1950,61,,78,57,46,47
"43",1951,42,,60,52,72,51
"44",1952,40,,67,64,77,44
"45",1953,72,,79,54,73,65
"46",1954,53,,55,48,,66
"47",1955,54,,53,52,,43
"48",1956,60,,75,56,,49
"49",1957,50,,44,50,60,33
"50",1958,40,,68,46,48,56
"51",1959,69,,58,48,70,46
"52",1960,52,,73,53,,34
"53",1961,50,,69,62,56,37
"54",1962,46,,60,42,61,54
"55",1963,62,,63,52,,58
"56",1964,54,,59,52,35,46
"57",1965,48,,60,54,,51
"58",1966,70,,76,76,,64
"59",1967,52,,68,64,,61
"60",1968,65,,69,44,81,57
"61",1969,62,70,63,60,,40
"62",1970,64,55,52,61,56,64
"63",1971,67,70,67,56,58,71
"64",1972,59,60,55,49,,49
"65",1973,54,67,61,74,56,42
"66",1974,64,76,72,63,72,53
"67",1975,64,64,79,46,54,53
"68",1976,57,64,61,52,32,42
"69",1977,60,74,79,53,,68
"70",1978,58,62,74,49,62,57
"71",1979,74,70,68,58,69,50
"72",1980,55,60,69,67,49,53
"73",1981,54,63,76,60,,61
"74",1982,56,71,55,56,76,46
"75",1983,68,62,72,81,40,72
"76",1984,63,71,83,56,53,54
"77",1985,68,67,72,44,,42
"78",1986,54,67,52,70,58,57
"79",1987,62,63,47,48,46,48
"80",1988,45,77,77,72,,63
"81",1989,46,78,73,52,54,72
"82",1990,62,62,76,70,59,62
"83",1991,58,81,68,48,46,59
"84",1992,69,62,62,73,33,68
"85",1993,55,70,62,50,66,48
"86",1994,67,68,59,61,69,78
"87",1995,61,58,56,59,,72
"88",1996,58,71,73,54,48,58
"89",1997,71,54,71,55,,56
"90",1998,74,65,76,67,58,52
"91",1999,53,67,72,63,,60
"92",2000,67,60,60,74,75,73
"93",2001,69,,69,57,,45
"94",2002,64,72,73,63,78,78
"95",2003,49,65,63,72,56,76
"96",2004,67,62,58,58,64,57
"97",2005,66,80,75,59,,70
"98",2006,59,73,54,46,,60
"99",2007,71,68,88,72,,69
"100",2008,67,55,68,70,71,72
"101",2009,,76,56,56,48,79
"102",2010,78,68,74,85,55,44
"103",2011,70,68,80,62,48,
"104",2012,65,70,57,60,,68
"105",2013,76,67,82,62,,82
"106",2014,55,61,69,59,38,71
"107",2015,72,70,67,83,,64
"108",2016,70,68,75,71,65,73
