"","Year","Chemstry","Economics","Literature","Medicine","Peace","Physics"
"1",1901,49,,62,47,76,56
"2",1902,50,,85,45,64,43
"3",1903,44,,71,43,75,44
"4",1904,52,,73,55,,62
"5",1905,70,,59,62,62,43
"6",1906,54,,71,58,48,50
"7",1907,47,,42,62,69,55
"8",1908,37,,62,57,68,63
"9",1909,56,,51,68,68,47
"10",1910,63,,80,57,,73
"11",1911,44,,49,49,60,47
"12",1912,50,,50,39,67,43
"13",1913,47,,52,63,59,60
"14",1914,46,,,38,,35
"15",1915,43,,49,,,39
"16",1916,,,57,,,
"17",1917,,,60,,,40
"18",1918,50,,,,,60
"19",1919,,,74,49,63,45
"20",1920,56,,61,46,69,59
"21",1921,44,,77,,56,42
"22",1922,45,,56,37,61,37
"23",1923,54,,58,40,,55
"24",1924,,,57,64,,38
"25",1925,60,,69,,61,40
"26",1926,42,,55,59,56,56
"27",1927,50,,68,70,78,46
"28",1928,52,,46,62,,49
"29",1929,60,,54,70,73,37
"30",1930,49,,45,62,64,42
"31",1931,52,,67,48,70,
"32",1932,51,,65,59,,31
"33",1933,,,63,67,61,38
"34",1934,41,,67,47,71,
"35",1935,36,,,66,46,44
"36",1936,52,,48,62,58,42
"37",1937,51,,56,44,73,50
"38",1938,38,,46,46,,37
"39",1939,41,,51,44,,38
"40",1943,58,,,49,,55
"41",1944,65,,71,63,,46
"42",1945,50,,56,50,74,45
"43",1946,52,,69,56,80,64
"44",1947,61,,78,54,,55
"45",1948,46,,60,49,,51
"46",1949,54,,52,73,69,42
"47",1950,61,,78,57,46,47
"48",1951,42,,60,52,72,51
"49",1952,40,,67,64,77,44
"50",1953,72,,79,54,73,65
"51",1954,53,,55,48,,66
"52",1955,54,,53,52,,43
"53",1956,60,,75,56,,49
"54",1957,50,,44,50,60,33
"55",1958,40,,68,46,48,56
"56",1959,69,,58,48,70,46
"57",1960,52,,73,53,,34
"58",1961,50,,69,62,56,37
"59",1962,46,,60,42,61,54
"60",1963,62,,63,52,,58
"61",1964,54,,59,52,35,46
"62",1965,48,,60,54,,51
"63",1966,70,,76,76,,64
"64",1967,52,,68,64,,61
"65",1968,65,,69,44,81,57
"66",1969,62,70,63,60,,40
"67",1970,64,55,52,61,56,64
"68",1971,67,70,67,56,58,71
"69",1972,59,60,55,49,,49
"70",1973,54,67,61,74,56,42
"71",1974,64,76,72,63,72,53
"72",1975,64,64,79,46,54,53
"73",1976,57,64,61,52,32,42
"74",1977,60,74,79,53,,68
"75",1978,58,62,74,49,62,57
"76",1979,74,70,68,58,69,50
"77",1980,55,60,69,67,49,53
"78",1981,54,63,76,60,,61
"79",1982,56,71,55,56,76,46
"80",1983,68,62,72,81,40,72
"81",1984,63,71,83,56,53,54
"82",1985,68,67,72,44,,42
"83",1986,54,67,52,70,58,57
"84",1987,62,63,47,48,46,48
"85",1988,45,77,77,72,,63
"86",1989,46,78,73,52,54,72
"87",1990,62,62,76,70,59,62
"88",1991,58,81,68,48,46,59
"89",1992,69,62,62,73,33,68
"90",1993,55,70,62,50,66,48
"91",1994,67,68,59,61,69,78
"92",1995,61,58,56,59,,72
"93",1996,58,71,73,54,48,58
"94",1997,71,54,71,55,,56
"95",1998,74,65,76,67,58,52
"96",1999,53,67,72,63,,60
"97",2000,67,60,60,74,75,73
"98",2001,69,,69,57,,45
"99",2002,64,72,73,63,78,78
"100",2003,49,65,63,72,56,76
"101",2004,67,62,58,58,64,57
"102",2005,66,80,75,59,,70
"103",2006,59,73,54,46,,60
"104",2007,71,68,88,72,,69
"105",2008,67,55,68,70,71,72
"106",2009,,76,56,56,48,79
"107",2010,78,68,74,85,55,44
"108",2011,70,68,80,62,48,
"109",2012,65,70,57,60,,68
"110",2013,76,67,82,62,,82
"111",2014,55,61,69,59,38,71
"112",2015,72,70,67,83,,64
"113",2016,70,68,75,71,65,73
